age,education,capital-gain,capital-loss,hours-per-week,income
34,9,0,2179,12,0
48,10,7688,0,40,1
23,10,0,0,30,0
56,9,0,0,40,0
17,7,0,0,9,0
34,8,0,0,40,0
37,10,0,0,40,1
49,10,0,0,40,0
55,9,3411,0,40,0
25,13,0,0,40,0
38,9,0,0,40,0
37,10,0,0,40,0
45,10,0,0,44,1
51,9,0,0,40,1
47,10,0,0,46,0
34,5,0,0,40,0
27,10,0,0,40,0
45,9,0,0,40,0
21,10,0,0,40,0
23,10,0,0,37,0
46,10,0,0,40,0
22,9,0,0,40,0
31,9,0,0,30,0
33,13,0,0,40,0
55,14,3103,0,55,1
24,12,0,0,40,0
33,10,0,0,48,1
43,9,0,0,40,1
46,2,0,0,40,0
18,8,0,0,30,0
23,10,0,0,32,0
44,10,0,0,60,1
30,9,0,0,60,0
22,10,0,0,35,0
45,13,0,0,55,1
32,10,0,0,40,0
53,4,0,0,40,0
27,9,0,0,40,0
22,9,0,0,33,0
31,13,0,0,45,1
35,13,0,0,40,0
63,9,0,0,32,0
36,9,0,0,50,0
48,4,0,0,50,1
31,12,0,0,35,1
20,10,0,0,40,0
42,11,2885,0,40,0
35,9,0,0,60,0
62,13,0,0,38,0
64,10,0,0,40,1
27,9,0,0,34,0
24,9,0,0,40,0
65,9,0,0,40,0
45,10,0,0,30,0
28,9,0,0,30,0
59,10,0,0,14,1
48,9,0,0,32,0
42,13,99999,0,40,1
41,10,0,0,40,0
25,10,0,0,40,0
58,9,3325,0,30,0
51,10,0,0,36,0
49,4,0,0,40,0
31,10,0,0,50,0
29,7,0,0,40,0
30,14,0,0,50,1
40,9,0,0,40,0
23,13,0,0,60,0
20,9,0,0,30,0
44,12,0,1848,40,1
37,12,0,0,50,1
44,13,15024,0,45,1
27,6,0,0,40,0
36,14,0,0,15,0
27,4,0,0,40,0
22,13,2202,0,4,0
36,10,0,0,40,1
30,10,0,0,36,1
31,6,0,0,40,0
27,10,0,0,50,0
39,9,0,0,40,0
42,9,0,0,40,0
26,7,0,0,30,0
45,9,0,0,50,0
49,10,0,0,17,0
18,6,0,0,20,0
51,9,0,0,40,1
66,9,0,0,10,0
47,12,0,0,40,1
55,13,0,0,40,0
27,12,0,0,58,0
75,10,0,0,8,0
24,13,0,0,40,0
32,10,0,0,38,0
60,3,0,0,40,0
28,10,0,0,40,1
34,10,0,0,50,0
77,10,0,0,40,0
25,12,0,0,45,0
45,13,3103,0,40,1
75,14,0,0,16,0
52,8,594,0,40,0
30,9,0,0,25,0
34,14,4787,0,45,1
64,14,0,0,5,1
29,9,0,0,40,0
