age,education-num,hours-per-week,income_high
28,10,40,0
53,10,40,0
39,10,75,0
44,13,40,0
50,6,50,0
18,10,40,0
70,9,4,0
17,8,25,0
53,9,35,0
20,10,40,0
37,10,40,0
29,9,40,0
30,13,40,1
32,10,40,0
25,12,45,0
27,9,40,0
18,6,20,0
17,8,6,0
22,10,20,0
55,9,40,0
25,13,40,0
19,10,40,0
26,10,40,0
32,9,35,0
36,10,25,0
19,9,25,0
52,9,40,0
26,9,50,0
25,9,40,0
25,10,40,0
21,12,5,0
22,13,40,0
21,12,40,0
53,9,38,0
28,9,40,0
27,14,46,0
44,14,40,0
30,10,40,0
22,6,40,0
20,9,40,0
35,9,25,0
32,8,40,0
30,11,35,0
34,13,35,0
42,13,40,0
28,16,40,0
24,11,35,0
74,9,14,0
44,10,60,0
31,10,38,0
33,9,40,0
67,9,24,0
32,9,40,0
60,9,40,0
41,13,30,1
35,14,32,0
46,10,40,0
22,10,40,0
24,10,60,0
32,14,45,1
21,10,27,0
18,9,25,0
59,9,40,0
21,10,40,0
38,13,28,1
18,9,25,0
37,9,60,0
19,8,20,0
18,8,32,0
20,10,40,0
23,10,24,0
20,9,30,0
33,10,35,0
21,12,10,0
72,4,20,0
83,9,20,0
25,9,30,0
42,9,40,0
25,9,40,0
46,5,40,0
45,11,45,0
46,10,30,0
47,10,35,0
67,9,35,0
33,9,40,0
25,9,40,0
49,9,35,0
39,7,40,0
17,7,15,0
36,9,40,1
66,9,8,0
28,9,40,0
32,9,40,0
24,9,45,0
58,10,40,0
23,9,35,0
41,11,45,0
25,13,40,0
19,9,30,0
61,9,36,0
44,9,38,0
64,9,40,0
33,10,40,0
24,10,40,0
36,10,40,0
39,9,50,0
36,10,35,0
65,10,40,0
40,10,48,0
25,10,22,0
43,10,40,0
36,10,40,0
33,12,42,0
26,10,40,0
18,10,25,0
30,13,40,1
50,16,60,1
19,10,25,0
24,12,40,0
28,13,40,1
43,10,40,0
23,9,40,0
26,11,40,0
27,9,40,0
29,9,44,0
31,11,40,0
37,13,40,0
38,13,8,0
25,12,40,0
24,10,17,0
21,9,40,0
55,9,30,0
40,10,44,0
23,9,40,0
18,8,25,0
22,9,40,0
39,9,40,0
48,9,50,0
26,7,65,0
28,9,37,0
26,13,20,0
19,10,20,0
48,10,43,0
50,10,40,0
26,6,40,0
44,10,40,0
23,12,40,0
36,9,40,0
55,9,40,0
26,14,48,0
20,10,24,0
43,9,35,0
24,10,45,0
41,10,55,0
34,13,25,0
19,9,12,0
24,10,40,0
53,10,24,0
44,9,40,0
20,7,50,0
33,10,45,0
39,10,56,0
51,13,40,0
28,10,50,0
18,9,20,0
31,9,45,0
21,10,40,0
30,12,40,0
34,13,40,0
76,3,40,0
27,14,40,0
44,10,40,0
27,9,40,0
25,9,8,0
30,13,40,0
43,10,55,1
70,9,5,0
23,10,20,0
29,9,45,0
45,13,55,0
46,9,40,1
21,10,40,0
49,9,20,0
49,14,50,0
42,9,40,0
72,9,16,0
58,6,40,0
33,10,50,0
26,14,40,0
34,14,40,0
26,10,40,0
40,12,40,0
27,15,45,0
26,10,65,0
43,16,50,1
61,10,40,0
19,9,20,0
22,10,3,0
45,9,40,0
26,11,36,0
55,5,23,0
25,10,40,0
23,13,16,0
17,7,20,0
24,13,40,0
28,10,30,0
23,13,40,0
45,10,40,0
62,9,15,0
51,9,40,0
23,9,40,0
47,10,33,0
59,9,35,0
33,9,46,1
55,10,40,0
23,7,35,0
31,16,90,0
22,11,30,0
29,11,40,0
42,14,20,1
47,9,40,1
20,9,40,0
49,9,32,0
39,9,40,0
18,10,30,0
44,13,32,0
48,10,20,0
40,9,40,0
30,9,40,0
21,10,40,0
30,13,40,0
53,10,60,0
48,11,40,0
18,9,40,0
25,13,40,0
59,9,50,0
45,14,15,0
19,10,15,0
56,10,50,0
20,10,35,0
47,10,40,0
20,10,35,0
25,13,40,0
24,13,40,0
32,9,40,0
20,10,40,0
36,13,17,0
38,9,60,1
23,13,25,0
28,13,35,0
26,13,40,0
66,9,18,0
58,9,40,0
20,10,40,0
55,9,40,0
19,10,40,0
40,9,35,1
45,10,45,0
25,10,19,0
24,9,30,0
20,10,40,0
74,10,9,0
18,7,25,0
38,12,40,0
55,9,40,0
25,6,25,0
21,10,35,0
79,16,40,0
38,9,35,0
34,11,40,0
51,14,30,1
21,10,38,0
35,9,40,0
42,10,55,0
32,10,40,0
63,9,40,0
62,9,25,0
42,12,40,0
32,13,50,0
49,14,75,0
26,7,15,0
29,9,30,0
28,13,5,0
24,14,40,0
41,9,50,0
46,13,40,0
18,7,20,0
34,12,25,1
42,13,40,0
51,9,40,1
31,15,99,0
34,6,36,0
19,9,40,0
47,10,35,1
29,9,40,1
21,10,16,0
26,13,45,0
62,10,60,0
39,10,60,0
65,9,40,0
77,9,32,0
33,9,40,0
38,10,50,0
20,10,30,0
57,15,50,1
22,12,40,0
35,4,80,0
26,13,38,0
18,10,40,0
48,9,30,0
23,11,40,0
50,9,45,0
30,9,40,0
44,10,38,0
56,6,32,0
24,7,40,0
37,9,40,0
34,13,40,0
26,13,40,0
18,10,35,0
65,9,24,0
30,13,30,0
20,10,32,0
48,9,50,0
58,9,20,1
18,10,20,0
70,9,5,0
25,11,40,0
34,16,99,0
30,9,35,0
41,9,40,0
40,9,45,0
54,13,40,0
19,9,40,0
26,13,80,0
73,5,9,0
36,9,40,0
28,9,70,0
19,9,40,0
52,9,48,0
18,7,20,0
18,4,40,0
54,9,40,0
24,10,25,0
30,15,45,0
22,9,40,0
42,10,50,0
44,15,40,1
30,9,40,0
50,13,40,0
24,9,40,0
56,10,40,0
20,10,50,0
25,9,40,0
32,10,40,0
32,9,34,0
22,9,40,0
43,9,50,0
38,13,50,1
44,15,40,0
22,9,20,0
33,6,40,0
66,14,40,0
48,9,30,0
25,14,40,0
19,10,25,0
49,10,30,0
27,13,48,0
58,9,45,0
21,10,16,0
19,10,28,0
18,9,20,0
24,13,40,0
40,10,40,0
24,10,40,1
34,11,40,0
23,13,38,0
50,9,33,0
45,12,48,0
50,9,25,0
20,9,35,0
49,13,50,0
17,7,12,0
27,10,30,0
47,9,40,0
32,7,49,0
22,9,40,0
17,8,30,0
27,13,40,0
63,11,8,0
48,10,44,0
52,14,40,0
31,9,40,0
34,10,40,0
29,9,40,0
38,13,20,1
40,10,45,0
38,13,55,0
28,13,60,1
73,9,15,0
61,7,36,0
25,13,40,0
42,12,45,0
56,13,45,1
40,13,40,0
17,6,14,0
17,7,18,0
57,9,40,0
21,10,25,0
35,10,30,0
28,12,40,0
43,16,40,0
38,13,40,0
41,9,60,0
26,13,40,0
24,8,38,0
40,10,40,1
48,10,40,0
66,9,25,0
23,13,32,0
18,8,24,0
46,9,43,0
38,10,32,0
33,12,40,0
26,9,40,0
28,9,40,0
23,10,28,0
23,13,40,0
27,9,50,0
21,10,25,0
31,9,30,0
18,9,45,0
21,10,16,0
35,9,20,0
22,10,40,1
45,13,40,1
65,9,25,0
57,9,40,0
32,9,10,0
18,9,20,0
20,10,10,0
28,13,60,0
38,13,35,0
21,10,47,0
34,9,35,0
24,9,38,0
25,13,40,0
58,9,15,0
19,10,20,0
17,7,5,0
33,13,40,1
42,9,15,0
56,14,40,1
52,10,50,0
38,11,40,0
24,9,36,0
19,7,20,0
35,9,12,0
35,9,40,0
22,12,15,0
21,12,25,0
29,10,36,0
51,9,40,0
50,4,20,0
47,10,40,0
37,9,55,0
19,10,20,0
24,12,40,0
43,13,60,0
35,13,32,1
22,13,20,0
30,13,20,0
28,11,40,0
29,13,50,0
34,12,25,0
25,10,40,0
54,13,40,0
25,13,37,0
37,9,32,0
21,10,40,0
54,10,40,0
36,10,30,0
37,11,52,0
40,11,32,0
50,9,40,0
39,8,40,0
66,9,40,1
49,10,40,1
41,9,40,0
19,9,36,0
39,10,35,0
69,10,15,0
54,13,50,0
28,9,40,0
39,16,80,0
40,10,40,0
52,10,40,0
22,10,37,0
41,9,40,0
19,10,15,0
34,9,25,0
43,9,44,0
18,10,25,0
42,9,25,0
32,13,40,1
26,9,50,0
28,10,40,0
19,7,40,0
43,9,40,1
51,9,20,0
50,9,40,0
32,11,40,1
19,10,18,0
29,10,40,0
24,13,45,0
18,6,30,0
34,9,40,1
38,10,38,0
41,10,40,0
40,9,40,0
19,10,20,0
57,9,38,0
30,13,40,0
25,10,35,0
19,9,30,0
39,10,45,0
24,14,35,1
20,7,40,0
23,13,40,0
24,9,32,0
55,9,38,0
69,9,32,0
32,13,55,1
36,10,25,0
18,9,20,0
38,9,40,0
51,10,40,0
67,9,40,0
39,13,20,0
21,10,25,0
25,6,35,0
18,10,20,0
53,14,40,1
61,9,40,0
35,13,32,0
23,1,15,0
40,12,40,0
26,13,40,0
54,16,40,1
36,9,40,1
51,13,16,0
72,7,40,0
29,9,27,0
30,9,40,0
39,10,40,0
28,14,50,0
26,13,40,0
23,13,30,0
31,9,40,0
38,14,40,0
54,15,65,0
53,9,40,0
37,13,40,0
29,7,40,0
41,13,45,0
42,10,20,0
25,14,40,0
50,9,40,0
21,10,35,0
31,10,43,0
18,9,16,0
25,13,40,1
36,9,36,0
55,9,50,1
31,16,48,0
47,9,46,0
46,9,30,0
47,9,45,0
40,13,45,0
40,10,40,1
62,10,40,0
28,11,40,0
32,14,40,0
34,10,40,0
58,7,40,0
19,10,20,0
22,10,30,0
53,7,40,0
31,12,40,0
29,10,25,0
37,10,60,0
40,14,40,0
43,14,20,0
40,14,40,0
32,13,35,0
44,8,40,0
35,9,30,0
28,9,35,0
20,10,25,0
20,10,25,0
39,12,56,0
17,6,30,0
31,10,30,0
27,13,40,0
40,9,40,0
17,7,23,0
46,9,40,0
29,10,40,0
26,13,60,0
18,10,20,0
46,10,40,0
61,9,40,0
20,10,40,0
27,13,40,0
24,9,32,0
24,13,30,0
54,9,40,1
17,6,23,0
36,13,45,1
39,9,40,0
53,8,40,0
18,9,20,0
45,11,40,1
27,13,40,0
59,4,99,0
47,7,38,0
40,12,50,0
22,13,40,0
25,11,15,0
20,10,2,0
33,9,35,0
25,9,40,0
29,9,35,0
17,7,8,0
25,9,30,0
48,12,40,0
22,10,35,0
59,12,50,0
52,9,40,0
36,12,37,0
32,11,40,0
23,9,30,0
52,9,38,0
66,9,25,0
61,9,40,0
44,12,99,0
21,10,30,0
20,10,18,0
29,13,40,0
53,13,40,0
17,7,35,0
27,9,42,0
21,10,12,0
26,11,55,0
36,9,37,0
40,9,45,0
25,14,40,0
19,10,20,0
34,11,64,0
28,9,40,0
31,10,52,0
22,13,40,0
22,10,36,0
49,10,40,1
31,11,40,0
18,10,15,0
42,13,55,0
62,13,7,0
45,9,40,0
48,10,37,0
32,10,40,0
32,11,40,0
48,11,15,0
65,11,40,0
26,13,40,1
31,6,40,0
35,9,54,0
23,13,20,0
53,11,40,0
55,12,5,0
44,10,15,0
31,13,40,0
36,9,40,0
46,13,40,0
48,9,52,0
18,10,20,0
62,9,38,0
23,13,45,0
43,9,40,0
64,4,4,0
29,10,25,0
24,9,40,0
60,4,40,0
23,9,35,0
29,11,40,0
34,13,40,0
53,15,50,0
20,10,20,0
45,5,40,1
28,13,40,0
24,10,30,0
45,10,40,0
35,9,40,0
27,10,35,0
64,12,20,0
47,9,40,0
34,11,40,0
60,10,15,0
18,7,30,0
31,9,40,0
61,9,40,0
32,13,40,0
67,9,5,0
55,9,40,0
19,10,20,0
22,13,20,0
28,10,30,0
23,9,40,1
32,10,40,0
47,10,40,0
43,10,50,0
18,8,25,0
19,10,40,0
27,13,40,0
17,6,25,0
46,10,40,0
23,7,38,0
27,13,36,0
21,9,40,0
58,13,50,0
44,10,40,0
20,10,18,0
41,9,40,0
32,4,40,0
23,9,40,0
41,13,40,0
39,11,37,0
20,4,52,0
52,13,40,1
65,9,14,0
46,14,65,1
24,13,50,0
40,10,40,0
42,14,40,0
19,9,15,0
76,7,16,0
34,7,8,0
30,11,40,1
21,10,45,0
29,9,40,0
60,14,10,0
43,9,58,0
19,10,8,0
52,10,40,0
21,12,30,0
40,13,50,0
31,13,40,1
33,13,45,0
55,13,8,0
54,10,40,0
59,10,48,0
34,10,50,0
59,9,35,0
39,11,50,0
24,13,40,0
55,10,40,0
18,7,5,0
34,11,40,0
20,10,17,0
47,9,40,0
22,10,40,0
32,13,50,1
60,4,20,0
27,12,40,0
38,9,55,0
74,10,18,0
68,9,24,0
64,9,40,0
26,9,52,1
30,12,40,0
33,9,40,0
25,10,60,0
75,10,8,0
22,10,40,0
