age,education,hours-per-week,income
49,13,50,1
32,9,40,1
35,13,40,0
48,10,45,0
23,6,40,0
32,10,40,0
54,9,40,0
47,13,40,0
22,9,40,0
33,13,30,0
59,6,40,0
34,13,40,0
22,7,35,0
61,4,56,0
26,13,20,0
54,14,40,0
20,10,15,0
48,9,40,0
57,9,60,0
47,13,60,1
29,9,40,0
28,10,7,0
35,13,40,1
36,10,40,0
19,9,20,0
28,10,42,0
25,9,45,0
45,6,70,0
34,13,40,1
57,9,40,1
39,9,40,0
29,13,40,1
34,10,50,1
26,12,30,0
42,9,40,0
25,13,40,0
29,10,38,0
30,9,46,0
20,9,40,0
21,10,10,0
36,9,40,0
81,13,50,1
32,9,48,0
78,4,20,0
58,9,10,0
48,9,60,1
40,9,25,0
26,9,60,0
18,10,9,0
61,10,40,1
32,9,40,0
26,13,38,0
36,10,40,0
49,10,40,0
48,9,42,1
59,13,60,0
23,11,40,0
37,11,84,0
67,6,2,0
35,14,45,1
36,13,20,0
20,10,60,0
17,6,30,0
24,12,40,0
24,9,48,0
52,9,38,0
43,15,50,0
32,13,40,0
22,8,50,1
41,12,75,1
49,9,40,1
38,7,45,0
20,10,16,0
59,9,60,0
32,10,40,0
39,13,60,0
56,13,40,0
32,11,40,0
25,13,60,0
29,16,35,1
18,10,37,0
69,9,35,0
27,10,50,0
38,9,50,0
22,10,45,0
29,9,40,0
51,13,40,1
41,13,40,0
70,6,45,0
18,7,40,0
60,12,35,1
29,13,50,0
38,9,50,0
34,13,40,1
37,10,65,0
44,9,70,0
41,13,40,1
34,10,72,0
53,13,40,0
36,13,35,0
47,9,55,1
23,9,40,0
52,13,55,1
54,10,40,1
41,9,40,1
35,9,40,0
66,9,15,0
52,9,40,0
33,11,40,0
24,12,20,0
40,9,45,0
73,9,30,0
26,9,40,0
19,9,40,0
49,13,50,1
25,13,50,0
23,4,40,0
29,9,42,0
63,9,48,0
55,9,50,0
25,13,25,0
45,13,55,1
36,9,70,1
28,9,40,0
34,9,40,0
17,7,30,0
41,11,40,1
34,9,45,0
47,13,50,0
36,9,60,0
37,13,40,1
41,10,40,1
49,5,38,0
39,10,48,0
30,6,40,0
25,12,45,0
50,10,40,1
61,10,40,1
29,9,40,0
51,14,40,0
32,9,40,0
28,11,45,0
43,10,60,1
66,13,40,1
41,10,54,0
45,9,48,1
73,9,40,0
24,13,45,1
43,13,55,0
44,10,50,1
43,10,40,0
29,16,50,1
27,9,40,0
39,10,40,0
38,13,42,1
25,13,44,0
40,13,40,1
65,9,45,0
37,13,40,0
30,9,40,1
33,9,45,1
48,13,40,1
43,13,40,1
51,9,40,0
52,10,60,1
38,9,50,0
52,13,50,0
51,9,81,0
19,10,14,0
51,9,50,0
51,8,99,0
28,13,60,0
19,7,10,0
39,10,40,0
46,13,40,1
38,9,40,1
35,9,40,0
28,11,60,0
50,15,40,1
17,7,30,0
18,9,35,0
29,9,97,0
36,9,40,0
34,6,45,1
39,9,60,0
22,9,45,0
35,13,40,1
46,10,50,0
48,10,40,0
58,9,45,1
53,9,45,0
21,10,40,0
42,10,50,1
32,11,40,0
21,10,40,0
32,9,40,0
26,9,70,0
34,12,55,0
27,5,40,0
61,6,20,0
90,6,40,0
50,9,50,1
43,9,60,0
39,9,40,0
26,12,40,0
74,10,16,0
24,9,40,0
22,9,40,0
38,9,44,1
43,10,55,0
28,13,40,1
40,9,60,0
47,10,40,1
36,9,40,0
24,13,40,0
41,10,48,1
48,15,45,1
34,10,40,0
45,13,35,0
46,9,40,0
58,9,40,0
28,6,30,0
47,11,50,0
32,10,30,0
33,10,58,0
46,9,40,0
37,9,40,0
58,10,20,0
35,10,50,0
34,9,40,1
35,14,45,1
38,9,48,1
24,10,40,0
19,10,15,0
22,9,43,0
33,16,40,0
44,10,45,0
34,10,48,1
48,9,60,0
22,10,12,0
24,11,40,0
19,9,30,0
26,10,40,0
37,9,40,0
36,9,50,0
41,9,27,0
37,9,40,0
67,9,37,1
52,11,50,0
58,9,40,0
46,9,40,0
39,9,50,0
30,10,40,0
35,9,40,1
27,9,38,0
43,7,40,0
18,7,13,0
49,7,40,0
23,12,25,0
43,11,40,0
51,9,42,0
53,9,40,0
49,9,40,0
23,10,25,0
29,9,40,0
44,9,65,1
29,9,40,1
27,10,50,0
43,9,40,0
29,9,40,0
31,13,60,1
55,9,40,0
61,13,40,0
48,13,40,0
35,10,50,0
39,16,45,0
36,9,50,0
36,10,40,0
33,9,40,0
29,9,56,0
37,10,60,0
35,9,40,0
55,6,40,0
54,8,40,0
42,9,40,0
58,9,60,0
17,7,20,0
47,11,38,1
26,9,40,0
42,4,40,0
31,10,40,0
40,13,50,0
31,10,45,0
64,10,40,0
26,10,40,0
37,9,40,0
32,9,60,0
36,10,60,0
60,9,40,0
44,13,40,1
26,10,45,0
24,12,40,0
37,5,70,1
21,10,40,0
25,9,40,0
47,13,40,1
25,10,40,0
22,10,40,0
47,10,47,1
40,9,28,0
18,9,20,0
42,14,50,0
24,13,50,0
19,10,50,0
45,9,40,1
40,14,40,0
39,9,40,1
61,9,52,1
23,13,40,0
50,9,50,1
27,9,40,0
51,14,40,1
25,13,65,0
38,13,50,1
27,10,22,0
31,13,50,1
57,14,40,0
54,10,40,1
38,13,55,0
27,13,9,0
51,12,60,0
30,9,30,0
56,14,16,0
25,14,20,0
60,15,40,1
38,11,40,1
63,13,40,1
26,11,80,0
57,15,60,0
31,9,50,0
20,10,25,0
32,9,60,0
47,14,40,1
37,9,40,0
43,13,40,1
23,13,55,0
58,5,40,0
31,10,40,0
58,10,35,0
37,13,40,0
33,10,52,0
47,9,40,0
25,9,40,0
21,10,20,0
45,13,60,1
45,12,55,0
17,6,10,0
40,6,40,0
40,12,60,0
26,13,40,0
29,13,25,0
39,12,40,0
39,13,35,0
46,15,50,1
57,14,38,1
24,10,24,0
35,9,40,0
22,12,45,0
30,10,55,0
26,9,50,1
51,13,40,1
26,13,58,1
61,6,50,1
39,10,60,0
60,9,40,0
24,10,40,0
44,13,46,1
44,13,50,1
32,9,40,0
61,9,37,0
45,6,40,0
28,9,40,0
24,10,15,0
30,10,30,0
27,13,40,0
34,8,40,0
54,1,60,0
24,9,40,0
61,9,50,0
19,10,32,0
52,2,40,0
25,12,30,0
42,11,40,1
32,9,40,0
40,9,40,0
29,10,40,0
45,10,40,0
36,14,50,1
41,10,16,0
22,9,40,0
22,9,40,0
17,6,35,0
29,9,40,0
47,10,60,0
39,6,40,0
25,9,48,0
35,9,40,0
34,9,40,0
18,6,30,0
67,4,40,0
43,13,40,1
40,10,50,0
66,6,30,0
41,9,40,0
38,14,45,0
29,9,40,0
30,9,40,0
31,9,42,0
32,13,40,1
19,9,45,0
33,5,70,0
29,12,40,0
24,13,43,0
20,9,40,0
40,13,65,1
34,9,40,0
42,5,40,0
37,9,50,0
40,10,60,0
44,9,40,1
28,6,40,0
23,10,40,0
37,9,50,0
43,9,40,0
17,6,30,0
54,7,40,0
20,6,40,0
56,9,50,1
25,9,40,0
37,9,50,0
42,13,60,1
20,9,40,0
28,9,40,0
27,9,45,0
53,11,40,1
47,10,56,1
30,10,60,0
37,9,80,1
30,10,40,1
31,9,60,0
80,9,25,0
48,12,50,1
43,10,45,1
44,13,44,1
22,8,40,0
29,9,40,0
39,11,50,0
46,14,40,0
45,9,40,0
24,10,15,0
32,10,45,0
26,10,40,0
20,10,24,0
25,13,60,0
55,13,40,0
38,9,40,0
54,4,40,1
31,11,40,0
53,9,40,0
56,10,45,1
24,9,40,0
45,14,37,1
30,9,70,0
26,9,40,0
54,13,40,0
29,13,40,1
43,13,40,1
43,13,40,0
22,10,20,0
50,13,40,1
18,7,3,0
47,9,45,0
43,14,40,1
59,7,40,0
25,13,50,0
25,9,50,0
55,9,40,0
45,12,50,1
55,9,45,0
47,14,38,1
31,9,40,0
33,15,42,1
20,9,40,0
33,9,45,0
38,9,40,1
43,9,40,0
20,10,40,0
17,6,20,0
19,9,40,0
58,9,40,0
43,15,50,1
34,9,35,1
37,10,40,0
47,9,56,1
38,15,35,1
38,13,55,1
49,9,50,0
49,14,50,1
17,6,4,0
49,9,40,0
34,9,50,0
49,9,40,0
58,9,45,1
39,13,50,0
24,13,50,0
35,14,50,1
62,11,40,1
18,9,40,0
23,10,35,0
61,16,40,1
55,9,40,0
57,6,40,0
34,9,40,0
35,9,40,0
19,9,30,0
31,10,40,0
30,9,25,0
63,4,30,0
65,9,1,1
37,11,55,0
57,6,43,0
28,10,40,0
28,9,45,0
34,12,60,0
63,10,48,0
46,11,40,1
28,9,60,0
31,13,40,0
76,3,20,0
65,10,40,0
21,11,98,0
21,7,45,0
38,15,99,1
43,13,50,0
45,9,40,0
30,13,18,0
35,10,50,0
32,13,40,0
35,10,50,1
35,9,50,0
19,7,25,0
32,9,80,1
31,10,48,0
59,10,40,0
41,9,40,1
54,12,40,1
53,9,70,0
27,10,60,0
45,13,40,0
42,14,60,1
61,9,48,0
36,6,40,0
24,10,40,0
27,13,41,0
37,5,35,0
43,13,45,1
28,9,40,0
43,13,40,0
31,6,40,0
25,9,40,0
34,9,50,0
31,9,40,0
19,10,30,0
36,9,48,0
28,9,50,0
35,9,40,0
36,3,35,0
43,14,45,0
41,10,60,0
34,10,48,1
18,9,20,0
35,10,58,0
33,14,50,0
31,11,42,0
33,9,40,0
33,9,40,0
46,13,50,1
20,6,50,0
68,10,40,0
26,10,52,1
47,13,40,0
56,9,40,0
46,12,40,0
19,9,40,0
36,9,40,0
23,5,40,0
52,14,45,0
33,9,43,0
24,13,30,0
54,10,45,1
80,4,35,0
57,10,55,0
46,14,35,1
35,13,40,1
41,9,40,0
27,10,40,1
22,7,65,0
48,10,30,0
35,10,50,1
43,10,50,1
39,13,50,0
38,8,40,1
47,9,32,0
36,9,35,0
44,16,40,1
35,9,40,0
33,14,45,1
53,13,44,1
60,14,48,1
31,13,50,0
28,9,40,0
29,9,40,0
59,9,48,0
18,7,20,0
36,9,40,0
54,13,40,1
59,13,38,0
41,13,40,1
29,13,40,0
66,13,12,0
43,14,50,1
35,9,40,1
49,14,45,0
40,12,52,0
64,4,25,0
49,10,46,0
48,7,40,0
38,9,65,0
21,10,35,0
34,11,32,1
31,9,40,0
42,13,40,1
32,11,46,0
52,13,45,1
37,13,35,0
46,9,40,0
50,13,50,0
40,13,40,1
32,10,40,1
19,9,45,0
45,13,45,1
50,10,40,0
33,13,40,0
63,15,30,1
32,13,60,1
24,9,30,0
27,10,24,0
31,9,40,0
28,9,40,0
37,9,70,0
58,6,40,0
40,9,40,1
53,4,35,0
22,10,50,0
33,9,45,0
37,9,40,0
24,10,20,0
55,10,40,1
27,13,40,0
51,10,40,1
57,13,40,0
52,9,45,0
51,10,40,0
19,9,38,0
39,13,50,1
48,6,40,0
56,5,99,0
31,10,45,0
60,9,30,0
25,13,40,0
18,10,15,0
66,15,25,1
26,10,44,0
20,10,25,0
42,10,20,1
35,9,50,0
31,13,50,0
31,10,40,0
56,13,60,0
58,10,50,1
61,4,54,0
46,4,50,0
40,9,50,0
45,14,50,0
52,10,60,0
74,10,20,1
50,9,40,0
21,9,40,0
23,4,35,0
17,7,20,0
28,10,40,1
20,8,40,0
38,6,40,0
51,7,40,1
60,14,40,0
26,9,40,0
64,14,2,0
35,9,60,0
45,9,47,1
18,7,20,0
51,9,40,0
19,9,50,0
56,9,40,1
61,8,40,0
28,10,40,0
62,14,30,1
21,4,40,0
59,10,56,0
27,11,40,0
40,13,46,1
32,7,40,0
58,9,40,0
51,9,40,1
37,9,40,0
23,13,15,0
31,13,60,0
34,12,40,0
17,6,10,0
36,9,50,1
42,9,30,0
52,9,40,0
52,7,40,0
60,9,44,1
36,13,40,0
26,9,50,0
48,9,40,1
46,9,40,0
31,12,40,0
28,13,40,0
51,13,70,1
